공원명,합계,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
지리산국립공원,"3,308,833","112,289","109,295","211,268","244,502","318,538","248,446","377,274","627,871","213,012","418,735","320,355","107,248"
경주국립공원,"2,887,634","140,365","109,169","163,474","257,407","279,632","277,312","173,585","281,882","240,346","385,571","404,636","174,255"
계룡산국립공원,"1,817,602","90,958","77,376","131,898","144,499","163,274","162,915","160,736","126,088","177,866","251,962","210,359","119,671"
한려해상국립공원,"6,439,653","379,103","382,636","538,488","755,744","754,590","517,921","470,054","700,498","532,010","583,348","458,696","366,565"
설악산국립공원,"3,241,484","133,583","139,624","144,465","242,434","291,265","269,610","226,610","287,962","294,642","768,976","289,019","153,294"
속리산국립공원,"1,244,854","41,923","41,359","59,450","81,757","130,035","130,237","127,738","128,322","117,830","215,880","126,239","44,084"
한라산국립공원,"891,817","111,558","47,237","66,335","75,197","97,910","80,542","46,292","58,267","60,985","112,280","82,279","52,935"
내장산국립공원,"1,948,616","57,262","51,661","74,102","81,470","124,432","109,300","155,122","145,114","143,160","330,228","597,670","79,095"
가야산국립공원,"672,901","24,912","20,751","36,096","56,898","78,981","57,861","44,026","54,011","54,993","117,996","100,053","26,323"
덕유산국립공원,"1,501,306","238,488","144,717","39,573","50,546","83,902","86,573","154,349","189,640","106,818","195,327","125,487","85,886"
오대산국립공원,"1,399,119","97,476","77,175","73,434","91,775","130,881","117,729","120,479","157,113","118,867","249,818","95,455","68,917"
주왕산국립공원,"1,155,063","22,857","19,581","24,727","51,280","72,646","50,922","40,994","60,197","58,274","380,091","334,116","39,378"
태안해안국립공원,"1,049,974","28,982","30,572","54,608","77,674","137,176","102,572","140,434","200,467","81,552","108,002","51,148","36,787"
다도해해상국립공원,"1,987,762","91,557","104,015","141,907","259,874","281,616","180,127","144,512","209,878","156,172","184,392","133,246","100,466"
치악산국립공원,"738,368","33,066","37,931","34,545","48,966","71,409","76,217","82,648","74,173","68,330","112,665","61,766","36,652"
월악산국립공원,"1,014,793","27,743","43,661","73,634","90,275","109,843","88,182","82,210","102,291","79,637","149,461","124,268","43,588"
북한산국립공원,"5,518,508","305,455","302,550","471,666","480,804","576,417","556,821","493,617","401,467","553,820","595,340","431,207","349,344"
소백산국립공원,"1,193,986","79,075","62,411","47,911","84,501","200,797","119,684","52,470","67,906","62,331","208,893","118,887","89,120"
월출산국립공원,"408,930","9,327","10,668","28,794","145,902","29,979","20,082","22,224","28,632","23,333","39,660","41,170","9,159"
변산반도국립공원,"1,579,089","88,446","90,988","116,106","165,686","211,629","114,719","93,100","127,186","128,792","157,749","142,675","142,013"
무등산국립공원,"3,143,779","308,824","253,844","299,537","259,794","294,984","252,102","198,020","211,723","240,322","311,091","295,608","217,930"
태백산국립공원,"680,068","243,049","67,810","20,677","18,761","42,061","51,577","56,751","66,051","29,667","34,908","18,772","29,984"
